metric,prefix,N,MAD_anchor,MAD_arecho,MAD_anchor_CI_low,MAD_anchor_CI_high,MAD_arecho_CI_low,MAD_arecho_CI_high,mean_anchor,mean_arecho,std_anchor,std_arecho,anchor_over_rate,anchor_under_rate,arecho_over_rate,arecho_under_rate,anchor_bias,arecho_bias,anchor_bias_CI_low,anchor_bias_CI_high,arecho_bias_CI_low,arecho_bias_CI_high,skew_anchor,skew_arecho,p_value,cohen_d
dns_overall,2,94,0.2755521702211433,0.388521226133394,0.2224735580762775,0.3316636495701737,0.31895455486298363,0.45995799168297274,-0.16361452553953923,-0.26585435343093605,0.3566912781848816,0.4604765071409729,0.3404255319148936,0.6595744680851063,0.30851063829787234,0.6914893617021277,-0.16361452553953923,-0.26585435343093605,-0.23543683136529836,-0.09423942997649766,-0.3572182459490888,-0.17748219893432773,-0.3191489361702127,-0.3829787234042554,0.007301981001894334,0.28292937507971655
dns_overall,4,89,0.22957460065443888,0.23278315104661837,0.18970361039127984,0.2774973489087878,0.19684251968961933,0.2716756258825233,-0.03790937053205835,-0.07243932102616633,0.3106815848364417,0.2911055978886456,0.47191011235955055,0.5280898876404494,0.449438202247191,0.550561797752809,-0.03790937053205835,-0.07243932102616633,-0.10354965063579195,0.02652407225346003,-0.1309459086558859,-0.01284269832864582,-0.05617977528089885,-0.101123595505618,0.18833470478283346,0.14053533666216023
dns_overall,6,74,0.2600873933765844,0.1970220603860722,0.20836036941137465,0.3203991450354075,0.15920297704238162,0.23754727916283344,-0.023932986269263695,-0.015123914696309753,0.3557628504243501,0.26774834414975374,0.4594594594594595,0.5405405405405406,0.47297297297297297,0.527027027027027,-0.023932986269263695,-0.015123914696309753,-0.10724152958227233,0.049899996741818976,-0.07251810156133742,0.046149384577691174,-0.08108108108108109,-0.054054054054054,0.7548441341059159,-0.036436062040825334
dns_overall,8,49,0.23279811680716248,0.1894951101116408,0.17250009811740222,0.2990991178215683,0.1441125739702499,0.2428987639080503,-0.036720662656402024,-0.04589022003047077,0.3235258983552954,0.25243238052796085,0.46938775510204084,0.5306122448979592,0.4489795918367347,0.5510204081632653,-0.036720662656402024,-0.04589022003047077,-0.1218390114385578,0.05046288138692668,-0.1195715143636767,0.023232474553191752,-0.06122448979591838,-0.10204081632653056,0.7983849882916938,0.036694230122573945
dns_p808,2,94,0.29700281878144347,0.29521402396534807,0.25276075061530023,0.34829300502946225,0.24420967568503082,0.3497335066307582,-0.10611481811412947,-0.18642741733561788,0.36721518975466416,0.3439258568306327,0.425531914893617,0.574468085106383,0.26595744680851063,0.7340425531914894,-0.10611481811412947,-0.18642741733561788,-0.17722668695068358,-0.03316039811731627,-0.25857285841844896,-0.12217162519166246,-0.148936170212766,-0.46808510638297873,0.0002716936325650398,0.39042856967409617
dns_p808,4,89,0.2075903955755408,0.18162133756524565,0.16925688966611807,0.24810497587399857,0.14670305848646117,0.21739017026426877,0.046128223650367464,0.03866981795686097,0.27573754392216104,0.2476681228071894,0.550561797752809,0.449438202247191,0.6067415730337079,0.39325842696629215,0.046128223650367464,0.03866981795686097,-0.011322336095823617,0.10420280911516197,-0.013490506207693933,0.0926361220994907,0.101123595505618,0.21348314606741575,0.6929148220256136,0.04199736341736703
dns_p808,6,74,0.20559791200494543,0.182144299626648,0.16416239905962907,0.24567625249045472,0.14762761406426597,0.22245644367030373,0.09002250376035437,0.10369012374048778,0.2616683446283472,0.22560879803224448,0.6081081081081081,0.3918918918918919,0.6756756756756757,0.32432432432432434,0.09002250376035437,0.10369012374048778,0.03145161602792881,0.14734738312170748,0.0553966286927898,0.1575494614731317,0.21621621621621623,0.3513513513513513,0.4809569505561233,-0.08234906231931995
dns_p808,8,49,0.20479108056966586,0.17187096689404174,0.16023159600356462,0.2519680003361783,0.12801345725639282,0.21711493813911426,0.0403078943381063,0.08696889826512982,0.26747094532816285,0.22786341670352986,0.5102040816326531,0.4897959183673469,0.673469387755102,0.32653061224489793,0.0403078943381063,0.08696889826512982,-0.033238373269224714,0.11622347380209032,0.02923261396768259,0.1519376913818822,0.020408163265306145,0.3469387755102041,0.06979095420947433,-0.2649535496420831
utmos,2,94,0.3152144973292102,0.3711884291209921,0.24580056304176534,0.38323671030321355,0.2967785808012892,0.4523187170768563,-0.18158448553794296,-0.2778852352405994,0.44370288744223124,0.4630966270579815,0.4574468085106383,0.5425531914893617,0.2765957446808511,0.723404255319149,-0.18158448553794296,-0.2778852352405994,-0.27173838713319753,-0.10167390355824567,-0.37367702400938757,-0.18673097613027823,-0.08510638297872336,-0.4468085106382979,0.01147642089135089,0.2660056373601567
utmos,4,89,0.17527442956722775,0.19438106542696323,0.13360123799467527,0.22057488540544773,0.15363919897952463,0.24017842421072386,-0.06239178247827468,-0.10317606065501463,0.27528749391410584,0.275460144405699,0.47191011235955055,0.5280898876404494,0.3146067415730337,0.6853932584269663,-0.06239178247827468,-0.10317606065501463,-0.12015968308052447,-0.007785128781384694,-0.15998589982040395,-0.043700307947551316,-0.05617977528089885,-0.3707865168539326,0.1327220836550566,0.16085585557383053
