metric,prefix,N,MAD_anchor,MAD_arecho,MAD_anchor_CI_low,MAD_anchor_CI_high,MAD_arecho_CI_low,MAD_arecho_CI_high,mean_anchor,mean_arecho,std_anchor,std_arecho,p_value,cohen_d
utmosv2,8,49,0.3200923926184856,0.3038699171795395,0.2549226868085691,0.3942874442169037,0.2452679124494799,0.3657184895780495,-0.04473791264108066,-0.15463894539881456,0.4065716048915627,0.35261768265814947,0.0050296401898745,0.42006424162805445
plcmos,2,94,0.596770318923705,0.6599277293346971,0.5122889974116923,0.6960363799189437,0.5448457347537456,0.7821697692157897,0.24589127040893344,-0.2191665916669819,0.7154575998989672,0.8681502043976348,3.1460321314880425e-11,0.7771046610899999
plcmos,4,89,0.5248042961443101,0.47442868336722055,0.4368802047696474,0.615337362800537,0.37638004809859166,0.5715493282759613,0.3034172027454571,-0.12346258137291116,0.6059453333205074,0.6708419432587287,4.461245250819634e-12,0.848857939784064
plcmos,6,74,0.5380532317825084,0.4605368404885035,0.44773133458505554,0.6435762073237252,0.36549030928051657,0.5587593854341563,0.2835540035305873,-0.07780658712353088,0.6229391592308471,0.6183210274259017,6.076607620900062e-08,0.7013694561573254
plcmos,8,49,0.5084459077998288,0.49356501105183237,0.41656965492978537,0.6154957637570644,0.3521959990264613,0.643041081543363,0.19541105786148377,-0.14022327570811904,0.6018642182398497,0.7017262114820373,0.0003060266035291785,0.5560301131477379
nisqa_mos_pred,2,94,0.5355403209245991,0.5629191861100292,0.4413210278272371,0.6272620119759896,0.4690167791154331,0.6615559286992997,-0.1265814030087932,-0.37858369928144636,0.7118918282932456,0.6390324059866608,3.0000736235324625e-05,0.4527354429708338
nisqa_mos_pred,4,89,0.4294555991034764,0.4716087162970721,0.35771120446763754,0.5051058284659959,0.383865679542307,0.5520458229767985,0.08005024421230388,-0.011407455607370196,0.5640038348974324,0.6211344005125851,0.08240863558979737,0.18623381857246893
nisqa_mos_pred,6,74,0.466712096612021,0.4851209663075446,0.3849288036832686,0.5485447535500565,0.40563807392711826,0.5685907341588783,0.044616610510502204,0.04148680199102189,0.5850636774098442,0.6097292341475989,0.9498671616099217,0.007334079406075418
nisqa_mos_pred,8,49,0.44130181120161294,0.39754833794843847,0.3370787200879078,0.5455842912244744,0.3101798264086416,0.4849633717456196,0.056221540888140714,0.10854723280389268,0.5734122914182139,0.5128593801292161,0.2524394731575639,-0.16548305633332885
nisqa_noi_pred,2,94,0.39478747048184853,0.36383606633660853,0.32204074879329464,0.4803241775138839,0.29005509432853105,0.44318714055657565,0.17658727212888523,0.03689663963603888,0.5386812871393812,0.5260611164953275,2.7095692524619343e-05,0.45549069475482157
nisqa_noi_pred,4,89,0.36452638702720486,0.31275635848519356,0.2932274350245169,0.4422122054862059,0.2448813469182749,0.38550194151540507,0.17543712205487913,0.1271628706572819,0.47297150424650014,0.4376213628756316,0.14116880982480448,0.15738905278041235
nisqa_noi_pred,6,74,0.319684447381598,0.3021852828988445,0.25661933516415736,0.39094227347310684,0.24042689208332294,0.3771451723892764,0.18327938599098928,0.10597112340090194,0.40382542306040575,0.41507510630331285,0.04440847130406658,0.23778599506733283
